source_column,import_id,question,classification,decision_reason,valid_n,missing_n,distinct_nonmissing_n,agreement_label_recognized_n,agreement_label_recognized_pct,raw_code_direction,numeric_code_mode,paired_export_equivalent
StartDate,startDate,Start Date,metadata,Known Qualtrics/system field,81,0,80,0,0.0,not_applicable,False,
EndDate,endDate,End Date,metadata,Known Qualtrics/system field,81,0,81,0,0.0,not_applicable,False,
Status,status,Response Type,metadata,Known Qualtrics/system field,81,0,2,0,0.0,not_applicable,False,
IPAddress,ipAddress,IP Address,metadata,Known Qualtrics/system field,80,1,43,0,0.0,not_applicable,False,
Progress,progress,Progress,metadata,Known Qualtrics/system field,81,0,5,0,0.0,not_applicable,False,
Duration (in seconds),duration,Duration (in seconds),metadata,Known Qualtrics/system field,81,0,78,0,0.0,not_applicable,False,
Finished,finished,Finished,metadata,Known Qualtrics/system field,81,0,2,0,0.0,not_applicable,False,
RecordedDate,recordedDate,Recorded Date,metadata,Known Qualtrics/system field,81,0,81,0,0.0,not_applicable,False,
ResponseId,_recordId,Response ID,metadata,Known Qualtrics/system field,81,0,81,0,0.0,not_applicable,False,
RecipientLastName,recipientLastName,Recipient Last Name,metadata,Known Qualtrics/system field,0,81,0,0,0.0,not_applicable,False,
RecipientFirstName,recipientFirstName,Recipient First Name,metadata,Known Qualtrics/system field,0,81,0,0,0.0,not_applicable,False,
RecipientEmail,recipientEmail,Recipient Email,metadata,Known Qualtrics/system field,0,81,0,0,0.0,not_applicable,False,
ExternalReference,externalDataReference,External Data Reference,metadata,Known Qualtrics/system field,0,81,0,0,0.0,not_applicable,False,
LocationLatitude,locationLatitude,Location Latitude,metadata,Known Qualtrics/system field,81,0,31,0,0.0,not_applicable,False,
LocationLongitude,locationLongitude,Location Longitude,metadata,Known Qualtrics/system field,81,0,31,0,0.0,not_applicable,False,
DistributionChannel,distributionChannel,Distribution Channel,metadata,Known Qualtrics/system field,81,0,2,0,0.0,not_applicable,False,
UserLanguage,userLanguage,User Language,metadata,Known Qualtrics/system field,81,0,1,0,0.0,not_applicable,False,
Q1,QID22,How many years of experience do you have with smart contract development ?,non_likert,Explicitly excluded; categorical/ordinal item,72,9,4,0,0.0,not_applicable,False,
Q2,QID41,"Self-assessed skill level: On a scale of 1–5, how would you rate your proficiency with smart contract development?",non_likert,Explicitly excluded; categorical/ordinal item,72,9,5,0,0.0,not_applicable,False,
Q3,QID42,How frequently do you work with ERC standards in your projects ?,non_likert,Explicitly excluded; categorical/ordinal item,72,9,5,0,0.0,not_applicable,False,
