source_column,import_id,raw_numeric_code,response_label,semantic_score,observed_n,classification,raw_code_direction
StartDate,startDate,,2025-11-25 18:02:50,,1,metadata,not_applicable
StartDate,startDate,,2025-11-25 19:31:19,,1,metadata,not_applicable
StartDate,startDate,,2025-11-25 19:32:05,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 04:37:52,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 04:51:43,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 04:52:07,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 04:38:04,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 04:29:27,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 05:11:35,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 05:50:17,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 04:51:37,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 11:04:15,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 11:04:42,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 21:06:37,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 04:54:53,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 23:25:31,,2,metadata,not_applicable
StartDate,startDate,,2025-11-26 23:27:28,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 23:29:43,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 22:25:36,,1,metadata,not_applicable
StartDate,startDate,,2025-11-27 01:28:26,,1,metadata,not_applicable
StartDate,startDate,,2025-11-27 04:52:51,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 04:58:19,,1,metadata,not_applicable
StartDate,startDate,,2025-11-27 02:51:54,,1,metadata,not_applicable
StartDate,startDate,,2025-12-01 01:52:49,,1,metadata,not_applicable
StartDate,startDate,,2025-12-01 02:15:26,,1,metadata,not_applicable
StartDate,startDate,,2025-12-01 02:15:42,,1,metadata,not_applicable
StartDate,startDate,,2025-12-01 02:16:16,,1,metadata,not_applicable
StartDate,startDate,,2025-12-01 02:16:32,,1,metadata,not_applicable
StartDate,startDate,,2025-12-01 02:19:53,,1,metadata,not_applicable
StartDate,startDate,,2025-12-01 02:15:02,,1,metadata,not_applicable
StartDate,startDate,,2025-12-01 04:17:19,,1,metadata,not_applicable
StartDate,startDate,,2025-12-01 05:17:27,,1,metadata,not_applicable
StartDate,startDate,,2025-12-01 10:58:59,,1,metadata,not_applicable
StartDate,startDate,,2025-12-01 23:46:38,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 04:37:50,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 04:42:43,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 04:41:08,,1,metadata,not_applicable
StartDate,startDate,,2025-12-03 05:04:23,,1,metadata,not_applicable
StartDate,startDate,,2025-11-26 05:07:09,,1,metadata,not_applicable
StartDate,startDate,,2025-12-03 19:39:00,,1,metadata,not_applicable
StartDate,startDate,,2025-12-04 02:35:59,,1,metadata,not_applicable
StartDate,startDate,,2025-12-22 22:55:57,,1,metadata,not_applicable
StartDate,startDate,,2025-12-23 01:29:23,,1,metadata,not_applicable
StartDate,startDate,,2025-12-24 20:19:21,,1,metadata,not_applicable
StartDate,startDate,,2025-12-26 20:11:44,,1,metadata,not_applicable
StartDate,startDate,,2025-12-28 06:29:04,,1,metadata,not_applicable
StartDate,startDate,,2025-12-29 20:21:25,,1,metadata,not_applicable
StartDate,startDate,,2025-12-30 20:15:16,,1,metadata,not_applicable
