source_column,import_id,question,physical_rows,label_nonmissing_n,recognized_agreement_label_n,recognized_agreement_label_pct,numeric_code_mode,equivalent,validation_note
StartDate,startDate,Start Date,81,81,0,0.0,False,,Single label source; paired-export check not performed
EndDate,endDate,End Date,81,81,0,0.0,False,,Single label source; paired-export check not performed
Status,status,Response Type,81,81,0,0.0,False,,Single label source; paired-export check not performed
IPAddress,ipAddress,IP Address,81,80,0,0.0,False,,Single label source; paired-export check not performed
Progress,progress,Progress,81,81,0,0.0,False,,Single label source; paired-export check not performed
Duration (in seconds),duration,Duration (in seconds),81,81,0,0.0,False,,Single label source; paired-export check not performed
Finished,finished,Finished,81,81,0,0.0,False,,Single label source; paired-export check not performed
RecordedDate,recordedDate,Recorded Date,81,81,0,0.0,False,,Single label source; paired-export check not performed
ResponseId,_recordId,Response ID,81,81,0,0.0,False,,Single label source; paired-export check not performed
RecipientLastName,recipientLastName,Recipient Last Name,81,0,0,,False,,Single label source; paired-export check not performed
RecipientFirstName,recipientFirstName,Recipient First Name,81,0,0,,False,,Single label source; paired-export check not performed
RecipientEmail,recipientEmail,Recipient Email,81,0,0,,False,,Single label source; paired-export check not performed
ExternalReference,externalDataReference,External Data Reference,81,0,0,,False,,Single label source; paired-export check not performed
LocationLatitude,locationLatitude,Location Latitude,81,81,0,0.0,False,,Single label source; paired-export check not performed
LocationLongitude,locationLongitude,Location Longitude,81,81,0,0.0,False,,Single label source; paired-export check not performed
DistributionChannel,distributionChannel,Distribution Channel,81,81,0,0.0,False,,Single label source; paired-export check not performed
UserLanguage,userLanguage,User Language,81,81,0,0.0,False,,Single label source; paired-export check not performed
Q1,QID22,How many years of experience do you have with smart contract development ?,81,72,0,0.0,False,,Single label source; paired-export check not performed
Q2,QID41,"Self-assessed skill level: On a scale of 1–5, how would you rate your proficiency with smart contract development?",81,72,0,0.0,False,,Single label source; paired-export check not performed
Q3,QID42,How frequently do you work with ERC standards in your projects ?,81,72,0,0.0,False,,Single label source; paired-export check not performed
Q4,QID24_TEXT,"Standards implemented : Which ERC standards have you implemented or interacted frequently, please list all?",81,57,0,0.0,False,,Single label source; paired-export check not performed
Q5_1,QID25_1,"ERC specifications: - Specification Clarity: I find ERC standard specifications clear and easy to implement. ERC specifications clearly define the expected behaviour, required functions, events, return values, and edge cases needed for a correct implementation.",81,69,69,1.0,False,,Single label source; paired-export check not performed
