participant_row,source_csv_row,likert_answered_n,likert_total_items,likert_completion_pct,within_person_sample_sd,modal_response_share,longest_identical_run_in_question_order,automatic_exclusion,note
1,4,0,46,0.0,,,0,False,Review with preregistered criteria; skip logic can create legitimate missingness.
2,5,0,46,0.0,,,0,False,Review with preregistered criteria; skip logic can create legitimate missingness.
3,6,0,46,0.0,,,0,False,Review with preregistered criteria; skip logic can create legitimate missingness.
4,7,0,46,0.0,,,0,False,Review with preregistered criteria; skip logic can create legitimate missingness.
5,8,0,46,0.0,,,0,False,Review with preregistered criteria; skip logic can create legitimate missingness.
6,9,0,46,0.0,,,0,False,Review with preregistered criteria; skip logic can create legitimate missingness.
7,10,37,46,0.8043478260869565,1.3710871160797478,0.43243243243243246,2,False,Review with preregistered criteria; skip logic can create legitimate missingness.
8,11,37,46,0.8043478260869565,0.7769193031477617,0.5405405405405406,5,False,Review with preregistered criteria; skip logic can create legitimate missingness.
9,12,37,46,0.8043478260869565,0.8146555490903279,0.6756756756756757,10,False,Review with preregistered criteria; skip logic can create legitimate missingness.
10,13,37,46,0.8043478260869565,0.9609492304088825,0.4594594594594595,2,False,Review with preregistered criteria; skip logic can create legitimate missingness.
11,14,37,46,0.8043478260869565,0.8690542303304526,0.5135135135135135,4,False,Review with preregistered criteria; skip logic can create legitimate missingness.
12,15,0,46,0.0,,,0,False,Review with preregistered criteria; skip logic can create legitimate missingness.
13,16,37,46,0.8043478260869565,1.3863339864267634,0.2972972972972973,3,False,Review with preregistered criteria; skip logic can create legitimate missingness.
14,17,37,46,0.8043478260869565,1.4247912233130964,0.2972972972972973,3,False,Review with preregistered criteria; skip logic can create legitimate missingness.
15,18,9,46,0.1956521739130435,0.6009252125773316,0.6666666666666666,2,False,Review with preregistered criteria; skip logic can create legitimate missingness.
16,19,37,46,0.8043478260869565,0.6931669932133816,0.5405405405405406,4,False,Review with preregistered criteria; skip logic can create legitimate missingness.
17,20,37,46,0.8043478260869565,0.9702790533869323,0.4864864864864865,7,False,Review with preregistered criteria; skip logic can create legitimate missingness.
18,21,37,46,0.8043478260869565,1.1156812917427381,0.40540540540540543,8,False,Review with preregistered criteria; skip logic can create legitimate missingness.
19,22,37,46,0.8043478260869565,0.9546786953794515,0.4594594594594595,7,False,Review with preregistered criteria; skip logic can create legitimate missingness.
20,23,37,46,0.8043478260869565,1.1816921749746827,0.43243243243243246,6,False,Review with preregistered criteria; skip logic can create legitimate missingness.
21,24,33,46,0.717391304347826,0.8427498280790526,0.48484848484848486,2,False,Review with preregistered criteria; skip logic can create legitimate missingness.
22,25,37,46,0.8043478260869565,0.5534494613840601,0.6756756756756757,6,False,Review with preregistered criteria; skip logic can create legitimate missingness.
23,26,37,46,0.8043478260869565,0.9863939238321439,0.4594594594594595,6,False,Review with preregistered criteria; skip logic can create legitimate missingness.
24,27,33,46,0.717391304347826,0.8638357026727486,0.45454545454545453,4,False,Review with preregistered criteria; skip logic can create legitimate missingness.
25,28,0,46,0.0,,,0,False,Review with preregistered criteria; skip logic can create legitimate missingness.
26,29,9,46,0.1956521739130435,0.8819171036881968,0.6666666666666666,2,False,Review with preregistered criteria; skip logic can create legitimate missingness.
27,30,37,46,0.8043478260869565,0.3287979746107145,0.972972972972973,16,False,Review with preregistered criteria; skip logic can create legitimate missingness.
28,31,37,46,0.8043478260869565,0.1643989873053573,0.972972972972973,16,False,Review with preregistered criteria; skip logic can create legitimate missingness.
29,32,37,46,0.8043478260869565,0.9235003263956395,0.5945945945945946,16,False,Review with preregistered criteria; skip logic can create legitimate missingness.
30,33,37,46,0.8043478260869565,0.9021162972775815,0.6216216216216216,11,False,Review with preregistered criteria; skip logic can create legitimate missingness.
31,34,37,46,0.8043478260869565,0.6811490027622178,0.4864864864864865,7,False,Review with preregistered criteria; skip logic can create legitimate missingness.
32,35,37,46,0.8043478260869565,0.0,1.0,16,False,Review with preregistered criteria; skip logic can create legitimate missingness.
33,36,37,46,0.8043478260869565,0.9570349606549992,0.5675675675675675,5,False,Review with preregistered criteria; skip logic can create legitimate missingness.
34,37,37,46,0.8043478260869565,0.9984973695493629,0.40540540540540543,4,False,Review with preregistered criteria; skip logic can create legitimate missingness.
35,38,19,46,0.41304347826086957,0.6306035352846115,0.5789473684210527,2,False,Review with preregistered criteria; skip logic can create legitimate missingness.
36,39,0,46,0.0,,,0,False,Review with preregistered criteria; skip logic can create legitimate missingness.
37,40,0,46,0.0,,,0,False,Review with preregistered criteria; skip logic can create legitimate missingness.
38,41,0,46,0.0,,,0,False,Review with preregistered criteria; skip logic can create legitimate missingness.
39,42,37,46,0.8043478260869565,0.641413604011804,0.5405405405405406,11,False,Review with preregistered criteria; skip logic can create legitimate missingness.
40,43,9,46,0.1956521739130435,0.6009252125773316,0.6666666666666666,2,False,Review with preregistered criteria; skip logic can create legitimate missingness.
41,44,37,46,0.8043478260869565,1.2898308663013391,0.5135135135135135,9,False,Review with preregistered criteria; skip logic can create legitimate missingness.
42,45,37,46,0.8043478260869565,1.1290592432528839,0.3783783783783784,6,False,Review with preregistered criteria; skip logic can create legitimate missingness.
43,46,37,46,0.8043478260869565,0.7603144599953877,0.5405405405405406,4,False,Review with preregistered criteria; skip logic can create legitimate missingness.
44,47,37,46,0.8043478260869565,1.2781367820517622,0.3783783783783784,4,False,Review with preregistered criteria; skip logic can create legitimate missingness.
45,48,37,46,0.8043478260869565,1.0317773813011044,0.43243243243243246,3,False,Review with preregistered criteria; skip logic can create legitimate missingness.
46,49,35,46,0.7608695652173914,1.49058670982127,0.5714285714285714,4,False,Review with preregistered criteria; skip logic can create legitimate missingness.
47,50,37,46,0.8043478260869565,1.755300852014002,0.5675675675675675,3,False,Review with preregistered criteria; skip logic can create legitimate missingness.
48,51,36,46,0.782608695652174,0.3333333333333333,0.9722222222222222,16,False,Review with preregistered criteria; skip logic can create legitimate missingness.
49,52,37,46,0.8043478260869565,0.7652356405615107,0.6486486486486487,7,False,Review with preregistered criteria; skip logic can create legitimate missingness.
50,53,28,46,0.6086956521739131,1.1333099904225385,0.35714285714285715,3,False,Review with preregistered criteria; skip logic can create legitimate missingness.
51,54,28,46,0.6086956521739131,0.6372477195601851,0.5357142857142857,5,False,Review with preregistered criteria; skip logic can create legitimate missingness.
