source_csv_row,status,raw_response,normalized_standards,excluded_or_unverified_identifiers,normalization_notes
4,missing,,,,
5,missing,,,,
6,missing,,,,
7,missing,,,,
8,missing,,,,
9,missing,,,,
10,coded_with_exclusions,"ERC-20, 721, 1155, 4333, 7702, 8004",ERC-20; ERC-721; ERC-1155; ERC-8004; EIP-7702,ERC-4333,721 -> ERC-721 (bare identifier); 1155 -> ERC-1155 (bare identifier); 7702 -> EIP-7702 (bare identifier); 8004 -> ERC-8004 (bare identifier)
11,coded,"ERC-20, ERC-721, ERC-4337, ERC-1559",ERC-20; ERC-721; ERC-4337; EIP-1559,,ERC-1559 -> EIP-1559 (family normalization)
12,coded,"ERC20, ERC721, ERC1155, ERC712, ERC5792,",ERC-20; ERC-721; ERC-1155; ERC-5792; EIP-712,,ERC712 -> EIP-712 (family normalization)
13,coded,ERC-20,ERC-20,,
14,coded,"ERC-20, ERC-721, ERC-1155, ERC-4337",ERC-20; ERC-721; ERC-1155; ERC-4337,,
15,missing,,,,
16,coded,"ERC-20,ERC-721",ERC-20; ERC-721,,
17,coded,"ERC-20, ERC-721",ERC-20; ERC-721,,
18,missing,,,,
19,missing,,,,
20,coded,"ERC20, ERC721",ERC-20; ERC-721,,
21,coded,"ERC20, ERC1155, ERC721, ERC137",ERC-20; ERC-721; ERC-1155; EIP-137,,ERC137 -> EIP-137 (family normalization)
22,coded,"ERC20, ERC721, ERC1155",ERC-20; ERC-721; ERC-1155,,
23,coded,"ERC-1967 (Proxy Pattern)
EIP-712 (Signature Standard)
ERC-165 (Interface Detection)
ERC-1271 (Signature Validation)
ERC-20 (Base Token Interface)
EIP-3009 (aka “transferWithAuthorization”)
ERC-2612 (Approve via signature)
EIP-7702 (Gasless Relayer)",ERC-20; ERC-165; ERC-1271; ERC-1967; ERC-2612; EIP-712; EIP-3009; EIP-7702,,
24,coded,ERC 20,ERC-20,,
25,coded,ERC20,ERC-20,,
26,coded_with_exclusions,"EIP7702, EIP1195, EIP1155, EIP720",ERC-1155; EIP-7702,EIP-1195; EIP-720,EIP1155 -> ERC-1155 (family normalization)
27,coded,"ERC20, ERC721, ERC4337, ERC1155",ERC-20; ERC-721; ERC-1155; ERC-4337,,
28,missing,,,,
29,missing,,,,
30,coded,"ERC721, ERC20",ERC-20; ERC-721,,
31,missing,,,,
32,coded,ERC20,ERC-20,,
33,coded,ERC 20,ERC-20,,
34,coded,ERC20,ERC-20,,
35,missing,,,,
36,coded,ERC 20,ERC-20,,
37,coded,"ERC-20, ERC-721, ERC-1155, ERC-7702, ERC-712, ERC-4626, ERC-4337, ERC-2612, ERC-2981",ERC-20; ERC-721; ERC-1155; ERC-2612; ERC-2981; ERC-4337; ERC-4626; EIP-712; EIP-7702,,ERC-7702 -> EIP-7702 (family normalization); ERC-712 -> EIP-712 (family normalization)
38,missing,,,,
39,missing,,,,
40,missing,,,,
41,missing,,,,
42,missing,,,,
43,coded,"ERC20, ERC721, ERC1155",ERC-20; ERC-721; ERC-1155,,
44,explicit_none,NA,,,
45,coded,"erc-20, erc-721, erc-1155, erc-712",ERC-20; ERC-721; ERC-1155; EIP-712,,erc-712 -> EIP-712 (family normalization)
46,explicit_none,none,,,
