standard,respondent_count,pct_of_codable_responses,pct_of_nonempty_responses,pct_of_all_survey_rows,raw_mention_count
ERC-20,44,89.8,77.2,54.3,45
ERC-721,37,75.5,64.9,45.7,38
ERC-1155,23,46.9,40.4,28.4,23
ERC-4626,12,24.5,21.1,14.8,13
ERC-4337,10,20.4,17.5,12.3,11
ERC-165,6,12.2,10.5,7.4,6
EIP-712,6,12.2,10.5,7.4,6
ERC-2612,5,10.2,8.8,6.2,5
EIP-7702,5,10.2,8.8,6.2,5
ERC-777,4,8.2,7.0,4.9,4
ERC-2981,4,8.2,7.0,4.9,4
ERC-1967,3,6.1,5.3,3.7,3
ERC-1271,2,4.1,3.5,2.5,2
ERC-1822,2,4.1,3.5,2.5,2
ERC-5792,2,4.1,3.5,2.5,2
ERC-1337,1,2.0,1.8,1.2,1
ERC-1400,1,2.0,1.8,1.2,1
ERC-2535,1,2.0,1.8,1.2,1
ERC-5805,1,2.0,1.8,1.2,1
ERC-8004,1,2.0,1.8,1.2,1
EIP-137,1,2.0,1.8,1.2,1
EIP-1559,1,2.0,1.8,1.2,1
EIP-3009,1,2.0,1.8,1.2,1
